QSP STEP QPU Experiment -- qpu:belenos
Run tag        : x100_shots5000
x[23] = -1.6819  job_id = a5f65ee9-c869-4b45-96ad-c0c6753614b6
x[24] = -1.6184  job_id = 78fece42-eb9f-45f6-8b76-389ac6e6fab6
x[25] = -1.5549  job_id = 0925d05f-feb9-4c1e-87a3-e4ed5d3c2c9a
x[26] = -1.4915  job_id = 26caa0ac-1237-4937-a316-b51fff971c9b
x[27] = -1.4280  job_id = 2b2d8f13-2a3e-4de0-a907-18124b566e6f
x[28] = -1.3645  job_id = 55341b1b-cbfb-4e7b-9d12-af46aafe9a00
x[29] = -1.3011  job_id = 9a6234c2-5dee-4baa-a2e5-ddb04e2feccc
x[30] = -1.2376  job_id = e40283df-c5e0-4bdd-8b83-87f9dc84f180
x[31] = -1.1741  job_id = fde0545f-78d2-48bb-b0f1-da5c4d7b0ca0
x[32] = -1.1107  job_id = e39e0d54-ac66-45ec-9b09-4490453101d7
x[33] = -1.0472  job_id = 20f868f5-252c-4447-b69c-35b1ba66ff30
x[34] = -0.9837  job_id = 38a7113d-bcac-4f38-8493-e47ac85529e5
x[35] = -0.9203  job_id = 63f5e57c-3cb2-403a-ae1f-24e3dda01569
x[36] = -0.8568  job_id = d0394368-8a18-4f2b-8f98-87d0e72d81ce
x[37] = -0.7933  job_id = c600113a-893e-412d-9633-41f04a1e836b
x[38] = -0.7299  job_id = 41b8c2f0-d8cd-40b3-85a2-260f518649dc
x[39] = -0.6664  job_id = 9ad497b2-3f71-442f-ae95-51c6df7881a6
x[40] = -0.6029  job_id = 76649dc1-4f17-4f42-a61f-4e5237c94d68
x[41] = -0.5395  job_id = aa731ae6-e45a-4147-9bbe-9a6b95242e7e
x[42] = -0.4760  job_id = 419676d6-921d-492c-95b7-f9a4bbeb0ae1
x[43] = -0.4125  job_id = c27c54a1-2ec0-4a26-b967-de6462455035
x[44] = -0.3491  job_id = 6c998d71-5909-4e31-a4a3-f27040e0a0a9
x[45] = -0.2856  job_id = 4477b851-2203-46a1-aa5b-558938d087f9
x[46] = -0.2221  job_id = 8aaf5cb4-9b6a-4fe0-b83e-7bb9b1493a91
x[47] = -0.1587  job_id = ca1895f7-f8a9-40ec-a9b2-02b2bb2b79c3
x[48] = -0.0952  job_id = 3d9429a1-c414-4033-8e36-ecc7bdaf6284
x[49] = -0.0317  job_id = 6d856d9f-b2d2-4ac2-bba0-3b725fe8ec40
x[50] = +0.0317  job_id = 80e61f61-993b-4eb8-bd8c-81d26f35b79c
x[51] = +0.0952  job_id = cb524635-6728-4471-9dd6-57fcaff4b701
x[52] = +0.1587  job_id = 8a997ab0-5435-4798-ab74-e1980faaaabf
x[53] = +0.2221  job_id = b9e4e084-0840-4b55-8b17-e2cfa328761c
x[54] = +0.2856  job_id = 25c42e8e-d126-44c1-983f-db28038fb922
x[55] = +0.3491  job_id = 2aea082b-62fb-42f2-9db4-8c0c0c19f0c7
x[56] = +0.4125  job_id = e93419ee-b766-41d0-9865-8c8e69b7f358
x[57] = +0.4760  job_id = f231d1ee-fc6c-4b7a-8e84-b97aa46bdf17
x[58] = +0.5395  job_id = aad7c983-fbcc-40f6-b010-958939f4a4f7
x[59] = +0.6029  job_id = 6fa267c6-d5f1-4b22-bb8d-6d6abc6ef9c2
x[60] = +0.6664  job_id = 9a8cf001-cc7f-434d-a12b-afc95bac3d0b
x[61] = +0.7299  job_id = 6a7bd59f-ac78-4373-a018-36c625c6c49f
x[62] = +0.7933  job_id = 2c01c29a-c314-4d3c-bc0c-8df801e84053
x[63] = +0.8568  job_id = dba827e7-aef7-45c0-ae7a-06153451626a
x[64] = +0.9203  job_id = 885f6c32-9eb0-429f-bf64-792480f77210
x[65] = +0.9837  job_id = 85b771c0-175b-4859-bc63-6fba200300ad
x[66] = +1.0472  job_id = b15a5642-02da-4d7a-a87f-60cebd126bd5
x[67] = +1.1107  job_id = 0a957e06-670a-4c78-81b5-cb1d3b61334d
x[68] = +1.1741  job_id = 7f7537d4-8815-43e9-8a10-d5fb989644a3
x[69] = +1.2376  job_id = b7775f9a-b9e8-4e37-a420-a7f238f57c5c
x[70] = +1.3011  job_id = 1daea4af-c307-497e-951a-fae68b6a81a2
x[71] = +1.3645  job_id = 752d2ea7-bc78-4edb-b553-1d1ba980f219
x[72] = +1.4280  job_id = 8eec40d9-9b4f-4f84-9425-cb31f1755b47
x[73] = +1.4915  job_id = e08de8f5-8725-4c1c-91bd-5ee50d44983f
x[74] = +1.5549  job_id = cdcbd042-6f73-4ae8-bb2d-e9a9efc19064
x[75] = +1.6184  job_id = f3ebf366-1dc6-46a4-8776-7b0445f456e1
x[76] = +1.6819  job_id = c3f488a1-2e18-4689-8918-d2cfb905fa6f
x[77] = +1.7453  job_id = e044d178-78b5-4a1b-8fbc-309932309985
x[78] = +1.8088  job_id = a69bf49f-9bed-461a-9ac0-baedef7dbbca
x[79] = +1.8723  job_id = 798622aa-1a4c-453e-a24b-e96109dd9832
x[80] = +1.9357  job_id = 8481fcff-9041-41cb-ba56-373d17612cea
x[81] = +1.9992  job_id = 236216d7-9eb6-4265-8d06-c0555665f1d9
x[82] = +2.0627  job_id = 151ab410-9fb6-47ac-a80e-311e65fd35dc
x[83] = +2.1261  job_id = 38422b8d-6263-4ea7-ab2d-5b5eb6e8e299
x[84] = +2.1896  job_id = 7592cb93-e922-4caa-a31e-9a9ece8c52cb
x[85] = +2.2531  job_id = 049474fe-b975-44ac-87d6-bf37ccff4177
x[86] = +2.3165  job_id = e37621ee-c891-425d-8c16-ad9510af591c
x[87] = +2.3800  job_id = 68a44f04-daf8-4bb9-8d7a-23b42300f506
x[88] = +2.4435  job_id = 8dea125a-7d05-4d38-a6b9-3d2a65c7df75
x[89] = +2.5069  job_id = 356c4e6e-c9f6-47c9-9edf-47364364fca7
x[90] = +2.5704  job_id = 60121a8f-4423-4449-9e51-db8d700a9769
x[91] = +2.6339  job_id = 6a6a5d41-b872-4b31-9429-1cb9a83269f5
x[92] = +2.6973  job_id = 9b7185b5-9f67-4e7b-b19e-1002172fea14
x[93] = +2.7608  job_id = bb62d609-c626-441b-bf47-cbe65517ae50
x[94] = +2.8243  job_id = ef4c6e95-a00c-4475-b711-46bda4959469
x[95] = +2.8877  job_id = 7efa9365-efaa-4a9a-896b-a8577e23f928
x[96] = +2.9512  job_id = aab5668d-4bfa-4866-bcac-37c06223bd8a
x[97] = +3.0147  job_id = d329a2bf-df31-418d-82df-ede78b8c91e1
x[98] = +3.0781  job_id = 8ba5ffa9-f112-4d9b-8ed6-bef577b6842e
x[99] = +3.1416  job_id = 2c8ad1d5-4806-4840-9add-25af3595c61a
